Date and Time,Latitude,Longitude,Magnitude,Depth
 14-OCT-2019 19:09:37 , 0.87 , 97.03 ,4.3 ,10 
 14-OCT-2019 19:06:33 , 0.93 , 97.00 ,4.4 ,10 
 14-OCT-2019 18:30:22 , -17.20 , -175.09 ,4.6 ,146 
 14-OCT-2019 18:11:04 , 52.57 , 172.33 ,4.5 ,10 
 14-OCT-2019 17:51:12 , -5.56 , 147.28 ,4.3 ,189 
 14-OCT-2019 17:41:21 , 12.22 , 144.00 ,4.3 ,10 
 14-OCT-2019 17:20:29 , 52.55 , 161.00 ,4.6 ,10 
 14-OCT-2019 15:11:04 , 49.96 , -178.26 ,4.3 ,10 
 14-OCT-2019 14:47:37 , 16.82 , -46.32 ,4.7 ,10 
 14-OCT-2019 14:09:26 , 34.61 , 137.05 ,4.3 ,337 
 14-OCT-2019 13:58:14 , -58.98 , -23.19 ,4.5 ,10 
 14-OCT-2019 12:13:52 , 56.17 , -153.07 ,4.0 ,6 
 14-OCT-2019 11:34:01 , -8.23 , 109.34 ,4.5 ,84 
 14-OCT-2019 07:49:07 , 36.56 , 70.84 ,4.5 ,206 
 14-OCT-2019 05:28:32 , -25.47 , 179.35 ,4.5 ,521 
 14-OCT-2019 03:29:20 , 55.99 , -156.25 ,4.2 ,42 
 14-OCT-2019 02:41:48 , -6.49 , 128.88 ,4.1 ,220 
 14-OCT-2019 01:53:38 , 27.95 , 55.90 ,4.3 ,10 
 14-OCT-2019 01:44:13 , -31.96 , 179.88 ,4.2 ,325 
 14-OCT-2019 01:11:29 , 36.53 , 70.60 ,5.0 ,204 
 14-OCT-2019 00:48:15 , 6.91 , 123.74 ,4.5 ,42 
 14-OCT-2019 00:10:55 , -30.12 , -177.92 ,4.4 ,48 
 14-OCT-2019 00:01:07 , -31.85 , -69.34 ,4.2 ,121 
 13-OCT-2019 23:41:17 , 4.31 , 64.13 ,4.3 ,10 
 13-OCT-2019 23:31:50 , -11.24 , 165.88 ,4.6 ,23 
 13-OCT-2019 21:57:35 , -30.25 , -178.01 ,5.2 ,35 
 13-OCT-2019 20:02:43 , -20.61 , -178.79 ,4.6 ,613 
 13-OCT-2019 19:46:50 , -26.39 , 179.77 ,4.4 ,499 
 13-OCT-2019 19:35:16 , -0.18 , 124.81 ,5.0 ,75 
 13-OCT-2019 16:21:05 , -3.42 , 130.76 ,4.1 ,10 
 13-OCT-2019 15:52:26 , -7.55 , 119.31 ,4.4 ,10 
 13-OCT-2019 15:46:09 , 9.36 , 127.03 ,4.3 ,10 
 13-OCT-2019 15:19:46 , -11.24 , 165.80 ,4.4 ,10 
 13-OCT-2019 15:02:48 , -5.50 , -11.50 ,4.7 ,10 
 13-OCT-2019 13:29:20 , -17.74 , -69.39 ,4.2 ,154 
 13-OCT-2019 13:23:56 , -20.88 , -177.78 ,4.2 ,541 
 13-OCT-2019 12:21:07 , -44.88 , 35.05 ,5.1 ,10 
 13-OCT-2019 12:11:57 , 52.29 , -169.93 ,4.0 ,35 
 13-OCT-2019 09:58:42 , 44.55 , 148.75 ,5.0 ,82 
 13-OCT-2019 06:32:14 , 16.43 , 146.35 ,5.1 ,35 
 13-OCT-2019 06:09:02 , -56.37 , -26.27 ,5.5 ,15 
 13-OCT-2019 04:52:57 , 16.27 , -97.92 ,4.7 ,35 
 13-OCT-2019 04:35:01 , 41.62 , 133.97 ,4.1 ,450 
 13-OCT-2019 03:54:44 , 48.07 , 152.43 ,4.2 ,144 
 13-OCT-2019 03:49:08 , -6.26 , 150.42 ,4.0 ,35 
